,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,ateroesclerosis_tuning115,100.0,0.02491,0.0471,0.8321,0.6953,0.38288,0.57041,0.35766,0.89854,2.0988,2.1242,1.263e-07,1.263e-07,1.263e-07
71,ateroesclerosis_tuning42,100.0,0.02744,0.04197,1.1463,0.74359,0.35923,0.56449,0.33687,1.0161,2.0447,2.9068,1.349e-07,1.349e-07,1.349e-07
72,ateroesclerosis_tuning93,100.0,0.02693,0.04841,1.0027,0.72692,0.42568,0.60543,0.37393,0.88142,2.1176,2.4386,1.2211e-07,1.2211e-07,1.2211e-07
73,ateroesclerosis_tuning116,100.0,0.02317,0.04755,0.91539,0.66231,0.34234,0.53349,0.36537,0.88368,2.2633,2.3206,1.341e-07,1.341e-07,1.341e-07
74,ateroesclerosis_tuning63,100.0,0.02711,0.04645,0.91063,0.75246,0.43131,0.61513,0.34119,0.95968,2.0338,2.2627,1.1791e-07,1.1791e-07,1.1791e-07
75,ateroesclerosis_tuning97,100.0,0.0307,0.06532,1.0215,0.71761,0.34055,0.4717,0.28751,1.0304,2.4623,3.0724,5.4454e-08,5.4454e-08,5.4454e-08
76,ateroesclerosis_tuning88,100.0,0.02823,0.06346,0.91741,0.71364,0.3536,0.56825,0.36434,0.96291,2.9395,2.2782,1.255e-07,1.255e-07,1.255e-07
77,ateroesclerosis_tuning12,100.0,0.02684,0.05577,0.98395,0.68008,0.36149,0.539,0.3571,0.96216,2.5812,2.6665,1.2351e-07,1.2351e-07,1.2351e-07
78,ateroesclerosis_tuning56,100.0,0.02723,0.04759,0.96456,0.74059,0.39865,0.59004,0.34458,0.9409,2.4562,2.2631,1.2351e-07,1.2351e-07,1.2351e-07
79,ateroesclerosis_tuning3,100.0,0.0262,0.05252,1.2623,0.73349,0.35023,0.55895,0.33365,0.93429,2.6745,3.061,1.2051e-07,1.2051e-07,1.2051e-07
80,ateroesclerosis_tuning19,100.0,0.03022,0.05543,0.94894,0.6913,0.35811,0.55569,0.34391,1.0524,2.5941,2.3775,1.371e-07,1.371e-07,1.371e-07
81,ateroesclerosis_tuning15,100.0,0.03492,0.05014,0.94902,0.67027,0.41892,0.57612,0.35593,1.1449,2.3596,2.1902,1.347e-07,1.347e-07,1.347e-07
82,ateroesclerosis_tuning2,100.0,0.03261,0.05266,0.82931,0.74684,0.33221,0.56106,0.39445,1.1167,2.4905,1.8915,9.0113e-08,9.0113e-08,9.0113e-08
83,ateroesclerosis_tuning55,100.0,0.02542,0.04398,0.88972,0.60969,0.26914,0.46337,0.2965,0.83992,2.4612,2.1838,1.2351e-07,1.2351e-07,1.2351e-07
84,ateroesclerosis_tuning98,100.0,0.02698,0.04614,0.76968,0.7757,0.37387,0.59957,0.38011,0.98691,2.3009,1.9473,1.287e-07,1.287e-07,1.287e-07
85,ateroesclerosis_tuning40,100.0,0.03226,0.05331,0.91738,0.70081,0.29279,0.53269,0.38516,1.0661,2.8008,1.9741,1.369e-07,1.369e-07,1.369e-07
86,ateroesclerosis_tuning4,100.0,0.02635,0.05093,0.94708,0.6696,0.34234,0.52428,0.35662,0.96231,2.4717,2.46,1.2011e-07,1.2011e-07,1.2011e-07
87,ateroesclerosis_tuning103,100.0,0.02656,0.05744,0.91509,0.68359,0.45495,0.61435,0.3557,1.0032,2.4727,2.4047,1.255e-07,1.255e-07,1.255e-07
88,ateroesclerosis_tuning23,100.0,0.03019,0.05795,0.97637,0.76122,0.42005,0.61463,0.37231,1.0279,2.6404,2.4563,1.419e-07,1.419e-07,1.419e-07
89,ateroesclerosis_tuning22,100.0,0.03648,0.05193,1.1656,0.64898,0.35811,0.54006,0.33297,1.2201,2.5766,2.8302,1.371e-07,1.371e-07,1.371e-07
90,ateroesclerosis_tuning47,100.0,0.03015,0.0555,0.95014,0.75135,0.31306,0.56061,0.39381,1.0447,2.9025,2.3529,1.371e-07,1.371e-07,1.371e-07
91,ateroesclerosis_tuning26,100.0,0.02567,0.05539,0.95109,0.62759,0.30743,0.50878,0.35544,0.95489,2.9888,2.3255,1.387e-07,1.387e-07,1.387e-07
92,ateroesclerosis_tuning114,100.0,0.03481,0.05104,0.86067,0.66004,0.37387,0.53918,0.33527,1.2791,2.3781,2.1477,1.577e-07,1.577e-07,1.577e-07
93,ateroesclerosis_tuning6,100.0,0.0204,0.04446,1.0186,0.8,0.37387,0.59697,0.35959,0.74609,2.5377,2.3213,2.0355e-07,2.0355e-07,2.0355e-07
94,ateroesclerosis_tuning84,100.0,0.02657,0.05723,0.74413,0.65962,0.31644,0.51207,0.33573,0.9387,2.8321,1.8629,1.7109e-07,1.7109e-07,1.7109e-07
95,ateroesclerosis_tuning111,100.0,0.02824,0.07047,0.62998,0.66931,0.38063,0.5574,0.35314,0.99988,3.394,1.6712,1.319e-07,1.319e-07,1.319e-07
96,ateroesclerosis_tuning51,100.0,0.02618,0.04836,0.87555,0.6573,0.39527,0.55226,0.30826,0.96118,2.2538,2.154,1.249e-07,1.249e-07,1.249e-07
97,ateroesclerosis_tuning107,100.0,0.02535,0.0573,0.93996,0.73304,0.37725,0.57485,0.35673,0.94633,2.8324,2.398,1.255e-07,1.255e-07,1.255e-07
