,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,ateroesclerosis_tuning79,50.0,0.06071,0.05647,1.1882,0.61296,0.39414,0.5487,0.33915,1.6133,2.1632,2.7693,9.9054e-08,9.9054e-08,9.9054e-08
183,ateroesclerosis_tuning32,50.0,0.04447,0.05728,0.90905,0.73994,0.26914,0.52505,0.3898,1.3315,3.0465,1.9555,2.582e-07,2.582e-07,2.582e-07
184,ateroesclerosis_tuning16,50.0,0.02896,0.09421,0.71094,0.60086,0.31532,0.48601,0.30036,0.93513,4.3019,1.6932,4.1884e-07,4.1884e-07,4.1884e-07
185,ateroesclerosis_tuning7,50.0,0.0595,0.1051,0.60383,0.73378,0.36937,0.5777,0.3622,1.9088,4.6765,1.4444,5.5846e-07,5.5846e-07,5.5846e-07
186,ateroesclerosis_tuning139,50.0,0.03938,0.06199,0.75762,0.52842,0.49212,0.54064,0.28216,1.1177,2.0726,2.0119,1.3462e-07,1.3462e-07,1.3462e-07
187,ateroesclerosis_tuning74,50.0,0.05569,0.06312,0.97759,0.81161,0.38063,0.55496,0.32811,1.4616,2.1109,2.2686,8.6866e-08,8.6866e-08,8.6866e-08
188,ateroesclerosis_tuning169,50.0,0.06134,0.05335,1.0278,0.54725,0.43694,0.5554,0.34406,1.6358,1.6427,2.384,1.1804e-07,1.1804e-07,1.1804e-07
189,ateroesclerosis_tuning8,50.0,0.06333,0.04586,0.53456,0.84642,0.27928,0.57724,0.40723,2.1955,2.4614,1.2667,7.2309e-07,7.2309e-07,7.2309e-07
190,ateroesclerosis_tuning73,50.0,0.05691,0.05719,0.91214,0.49282,0.34797,0.46551,0.29696,1.4453,2.2331,2.0043,1.0825e-07,1.0825e-07,1.0825e-07
191,ateroesclerosis_tuning149,50.0,0.03695,0.07314,0.99945,0.63339,0.39302,0.54559,0.35598,1.0315,2.7633,2.4314,1.0405e-07,1.0405e-07,1.0405e-07
192,ateroesclerosis_tuning25,50.0,0.04709,0.07186,0.68187,0.71848,0.2759,0.52536,0.35646,1.3902,3.7304,1.4629,3.3313e-07,3.3313e-07,3.3313e-07
