fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.31902,6e-05,0.00312,0.7,0.00033,4.94225,0.31701,5.74683,0.43068,1.44404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28121,6e-05,0.00332,0.7,0.00042,3.92994,0.33084,5.82902,0.38492,1.85688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34922,6e-05,0.00243,0.72441,0.00046,4.59565,0.27857,4.43091,0.34974,1.99188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2836,6e-05,0.00451,0.7,0.00058,4.78924,0.35912,6.42234,0.35874,1.75216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39334,4e-05,0.0039,0.7,0.0004,3.95779,0.24978,6.3822,0.42905,2.0406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33227,7e-05,0.00329,0.71173,0.00042,3.92994,0.32462,6.70425,0.42863,1.86082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45794,3e-05,0.00408,0.74072,0.00039,3.95779,0.21113,7.56951,0.42905,1.72634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39919,3e-05,0.00395,0.7281,0.00044,4.04431,0.20441,7.86831,0.4685,1.72634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34298,3e-05,0.00488,0.71029,0.00045,3.97215,0.20441,8.3637,0.35822,1.65684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34799,3e-05,0.00408,0.76933,0.00043,3.91935,0.19086,7.90536,0.42905,1.72634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35983,4e-05,0.0039,0.7,0.00044,3.95779,0.27868,6.3822,0.42905,2.07268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
